show_id,type,title,cast,release_year,duration.int,duration.type,rating
as1,movie,the grand seduction,"brendan gleeson, taylor kitsch, gordon pinsent",2014,113.0,min,3.4671314741035855
as2,movie,take care good night,"mahesh manjrekar, abhay mahajan, sachin khedekar",2018,110.0,min,3.54868154158215
as3,movie,secrets of deception,"tom sizemore, lorenzo lamas, robert lasardo, richard jones, yancey arias, noel gugliemi",2017,74.0,min,3.5
as4,movie,pink: staying true,"interviews with: pink, adele, beyoncé, britney spears, christina aguilera, more!",2014,69.0,min,3.5380549682875264
as5,movie,monster maker,"harry dean stanton, kieran o'brien, george costigan, amanda dickinson, alison steadman, grant bardsley, bill moody, matthew scurfield",1989,45.0,min,3.4789915966386555
as6,movie,living with dinosaurs,"gregory chisholm, juliet stevenson, brian henson, michael maloney",1989,52.0,min,3.5551948051948052
as7,movie,hired gun,"alice cooper, liberty devitto, ray parker jr., david foster, jason hook, steve vai, phil x, rudy sarzo, jay graydon, rob zombie, kenny aronoff, steve lukather, justin derrico, eva gardner, john 5, eric singer, derek st. holmes, paul bushnell, jason newsted, glen sobel, nita strauss, chris johnson",2017,98.0,min,3.553231939163498
as8,movie,grease live!,"julianne hough, aaron tveit, vanessa hudgens, keke palmer, carly rae jepson, mario lopez, carlos penavega, kether donohue, jordan fisher, david del rio, andrew call, wendell pierce, boyz ii men, jessie j, ana gasteyer, didi conn",2016,131.0,min,3.5172744721689058
as9,movie,global meltdown,"michael paré, leanne khol young, patrick j. maceachern",2017,87.0,min,3.501012145748988
as10,movie,david's mother,"kirstie alley, sam waterston, stockard channing",1994,92.0,min,3.439571150097466
as11,movie,forest fairies,"emily wilder, adrian cowan, gary mckenzie, jeremy ninaber, brenda somers, brian carleton, lora burke, winny clarke, mercedes morris, rebecca perry, emily agard, graham gauthier",2016,88.0,min,3.607068607068607
as12,movie,take care,"leslie bibb, kevin curtis, nadia dajani",2014,93.0,min,3.569072164948454
as13,movie,the night eats the world,"anders danielsen lie, golshifteh farahani, denis lavant, sigrid bouaziz, david kammenos",2018,94.0,min,3.506550218340611
as14,movie,resilencia,"rafinha alcantara, marc-andré ter stegen, sergi roberto, dr. ramón cugat, mazinho, xavi arruebo, celia ferreira da silva, ángel lapuebla, javier enríquez, thiago alcantara, valeria alcantara",2020,46.0,min,3.5701219512195124
